time,lambeck
1,25.58258894752483
26,20.41282160688991
51,15.24345505980205
76,18.37416095460927
101,21.50515077954379
126,27.21214440360336
151,32.91930509437019
176,32.47332625733254
201,32.02739762358232
226,35.01583182901949
251,38.00419937432383
276,40.42004664985046
301,42.8357104018242
326,40.24267439160375
351,37.64933799441089
376,35.62803795647037
401,33.60632066813693
426,31.87032528666869
451,30.13379579138757
476,30.82935325680762
501,31.5242597471229
526,27.06693762204489
551,22.60905512240416
576,25.01949543833525
601,27.42965748953245
626,33.13095460403694
651,38.83225556363698
676,33.94439063144875
701,29.05681165418542
726,29.7505126716281
751,30.44478175382442
776,34.00173584536453
801,37.55954011148784
826,35.53748262224219
851,33.5165574174091
876,30.78141157948403
901,28.04768013580077
926,33.18593783788053
951,38.32589204403116
976,29.01470556630753
1001,19.70549769932861
1026,20.84456603945842
1051,21.98558741841669
1076,28.99545761408479
1101,36.00697125667723
1126,35.00644105915168
1151,34.00724471664606
1176,31.57823948837135
1201,29.15025852321305
1226,28.15413497005668
1251,27.15872608811261
1276,27.02246984833162
1301,26.88661868785919
1326,24.46143709900305
1351,22.03635099755201
1376,23.61797183309837
1401,25.1993785641455
1426,23.63224291609871
1451,22.06458357164873
1476,30.51316134870656
1501,38.96090584047989
1526,35.24431783975512
1551,31.52688168289084
1576,23.22956453898485
1601,14.9316564240957
1626,26.95331474749531
1651,38.97463928506826
1676,32.39291534650447
1701,25.81111480727058
1726,32.96685053038564
1751,40.12276683798717
1776,35.9741875584367
1801,31.82604604852902
1826,28.3939648732615
1851,24.96257865279334
1876,17.38215093967412
1901,9.802675366510911
1926,15.10317202942049
1951,20.4048780174425
1976,19.9839701438049
2001,19.56452877786286
2026,21.29311920350866
2051,23.02318239819433
2076,24.03911170670878
2101,25.05628841867762
2126,30.93995886375659
2151,36.8246513467053
2176,32.97953515983534
2201,29.13521564524952
2226,21.14171508012657
2251,13.14878582170304
2276,16.31802115691897
2301,19.48760243324908
2326,21.08333022857901
2351,22.67917859943795
2376,20.26826861748773
2401,17.8572538454812
2426,28.18181430968001
2451,38.50604461823733
2476,32.80276710617972
2501,27.09893407475854
2526,25.11503424340374
2551,23.13053520738226
2576,25.72466040175282
2601,28.31831041461254
2626,28.76506534028366
2651,29.21146910760028
2676,27.36800301640007
2701,25.52430979000181
2726,20.81847555030789
2751,16.1125381985716
2776,17.55980790917254
2801,19.00709853088717
2826,21.59926243116339
2851,24.19157126570959
2876,22.63422200607433
2901,21.07714170386496
2926,15.51362612511397
2951,9.950503526944862
2976,14.83404791824982
3001,19.71810930953435
3026,22.7423993432617
3051,25.76696399060359
3076,21.77967201297296
3101,17.7920740311912
3126,19.38473272124199
3151,20.9765047893755
3176,23.13949510464418
3201,25.30101818023018
3226,24.02641263964038
3251,22.74975924160206
3276,23.76034838897238
3301,24.76830906112864
3326,21.33728832019135
3351,17.90305848627379
3376,16.468712373266
3401,15.03057654951262
3426,18.73991730754564
3451,22.44488773706737
3476,21.42293731123041
3501,20.396035955719
3526,19.79348150375351
3551,19.18701424769345
3576,21.58297506276579
3601,23.97755545587935
3626,14.78101926491712
3651,5.585635034131692
3676,7.554374924323619
3701,9.526799156827563
3726,15.65403896274048
3751,21.78749549310098
3776,21.63208798169147
3801,21.4854295768649
3826,23.78146597591316
3851,26.08878386368017
3876,24.68808077465568
3901,23.30119155648523
3926,22.78797516713946
3951,22.29110503078293
3976,17.51888350397096
4001,12.76554058329966
4026,17.04705716833138
4051,21.34715878540345
4076,24.80580156520042
4101,28.28012717221126
4126,24.32754719086802
4151,20.38774783191262
4176,16.1730804039646
4201,11.96829139357815
4226,19.93532722945983
4251,27.90933927807679
4276,20.43420663277035
4301,12.96314799537293
4326,19.66149291736374
4351,26.36100964243739
4376,25.04671457709031
4401,23.7306891100001
4426,19.12020986562667
4451,14.50509801468378
4476,19.75771927413764
4501,25.00280574416833
4526,17.36040095027054
4551,9.709701507187681
4576,15.93189934573554
4601,22.14702026688214
4626,24.92130206890836
4651,27.6897246853163
4676,24.01345123022868
4701,20.33253632130616
4726,17.9354779747939
4751,15.53499590623048
4776,19.28494714430861
4801,23.03269239211871
4826,21.62728391413702
4851,20.22088717767074
4876,15.52283877548475
4901,10.82501984659759
4926,15.57255969282893
4951,20.32154674414225
4976,21.06582362088386
5001,21.81276542451803
5026,20.4163238451651
5051,19.02279255039484
5076,23.92819237870557
5101,28.83585025402467
5126,20.86654855402674
5151,12.89885266346303
5176,16.95273520018188
5201,21.00757130876033
5226,27.06641799318394
5251,33.12556601189262
5276,31.60045313846021
5301,30.07498936173864
5326,30.98152806916486
5351,31.88706363572737
5376,26.63802177983757
5401,21.38732454551013
5426,20.42760964847018
5451,19.46558713541807
5476,18.93022727101743
5501,18.39190756176856
5526,23.0020120449825
5551,27.60935640207315
5576,25.05949398721768
