Age,Thickness,time
-35000.1,30.3906238816795,35.0001
-34997.601170117,33.8765424010666,34.997601170117
-34995.102340234,37.3310443935153,34.995102340234
-34992.603510351,40.7545526617027,34.992603510351
-34990.104680468,44.1474824554729,34.990104680468
-34987.6058505851,47.5102416396615,34.9876058505851
-34985.1070207021,50.8432308576198,34.9851070207021
-34982.6081908191,54.1468436902589,34.9826081908191
-34980.1093609361,57.4214668110621,34.9801093609361
-34977.6105310531,60.6674801368809,34.9776105310531
-34975.1117011701,63.8852569749475,34.9751117011701
-34972.6128712871,67.0751641659168,34.9726128712871
-34970.1140414041,70.2375622233572,34.9701140414041
-34967.6152115212,73.3728054695004,34.9676152115212
-34965.1163816382,76.4812421676546,34.9651163816382
-34962.6175517552,79.5632146510921,34.9626175517552
-34960.1187218722,82.6190594488016,34.9601187218722
-34957.6198919892,85.6491074079138,34.9576198919892
-34955.1210621062,88.5070700060033,34.9551210621062
-34952.6222322232,91.3173020916124,34.9526222322232
-34950.1234023402,94.0941587933839,34.9501234023402
-34947.6245724572,96.8382311696234,34.9476245724572
-34945.1257425743,99.5500964041178,34.9451257425743
-34942.6269126913,102.230318210935,34.9426269126913
-34940.1280828083,104.879447225012,34.9401280828083
-34937.6292529253,107.498021379351,34.9376292529253
-34935.1304230423,110.086566269116,34.9351304230423
-34932.6315931593,112.645595503393,34.9326315931593
-34930.1327632763,115.175611044876,34.9301327632763
-34927.6339333933,117.677103538168,34.9276339333933
-34925.1351035104,120.150552626937,34.9251351035104
-34922.6362736274,122.596427260569,34.9226362736274
-34920.1374437444,125.015185990519,34.9201374437444
-34917.6386138614,127.407277256963,34.9176386138614
-34915.1397839784,129.773139665916,34.9151397839784
-34912.6409540954,129.483229058542,34.9126409540954
-34910.1421242124,128.813977276045,34.9101421242124
-34907.6432943294,128.180676508647,34.9076432943294
-34905.1444644464,127.580505690802,34.9051444644464
-34902.6456345635,127.010931391021,34.9026456345635
-34900.1468046805,126.469672064331,34.9001468046805
-34897.6479747975,125.954667506752,34.8976479747975
-34895.1491449145,125.464052649493,34.8951491449145
-34892.6503150315,124.996134990233,34.8926503150315
-34890.1514851485,124.549375085837,34.8901514851485
-34887.6526552655,124.122369632761,34.8876526552655
-34885.1538253825,123.713836743305,34.8851538253825
-34882.6549954996,124.284164763821,34.8826549954996
-34880.1561656166,125.339731259802,34.8801561656166
-34877.6573357336,126.375629521811,34.8776573357336
-34875.1585058506,127.392404189246,34.8751585058506
-34872.6596759676,128.390579976364,34.8726596759676
-34870.1608460846,129.370662575225,34.8701608460846
-34867.6620162016,130.333139509931,34.8676620162016
-34865.1631863186,131.278480945278,34.8651631863186
-34862.6643564356,132.207140452577,34.8626643564356
-34860.1655265527,133.119555735283,34.8601655265527
-34857.6666966697,134.0161493169,34.8576666966697
-34855.1678667867,134.897329193377,34.8551678667867
-34852.6690369037,135.763489452176,34.8526690369037
-34850.1702070207,136.615010859918,34.8501702070207
-34847.6713771377,137.452261420521,34.8476713771377
-34845.1725472547,138.275596905464,34.8451725472547
-34842.6737173717,139.085361357882,34.8426737173717
-34840.1748874888,139.881887571889,34.8401748874888
-34837.6760576058,140.665497548619,34.8376760576058
-34835.1772277228,141.524578094053,34.8351772277228
-34832.6783978398,142.804460316628,34.8326783978398
-34830.1795679568,144.073260774141,34.8301795679568
-34827.6807380738,145.331122772156,34.8276807380738
-34825.1819081908,146.578187155926,34.8251819081908
-34822.6830783078,147.814592362991,34.8226830783078
-34820.1842484248,149.040474474383,34.8201842484248
-34817.6854185419,150.255967264577,34.8176854185419
-34815.1865886589,151.461202250143,34.8151865886589
-34812.6877587759,152.656308737179,34.8126877587759
-34810.1889288929,153.841413867573,34.8101889288929
-34807.6900990099,155.016642664073,34.8076900990099
-34805.1912691269,156.182118074275,34.8051912691269
-34802.6924392439,157.337961013481,34.8026924392439
-34800.1936093609,158.484290406534,34.8001936093609
-34797.694779478,159.621223228593,34.797694779478
-34795.195949595,160.748874544942,34.795195949595
-34792.697119712,161.867357549786,34.792697119712
-34790.198289829,162.976783604159,34.790198289829
-34787.699459946,164.077262272854,34.787699459946
-34785.200630063,165.168901360521,34.785200630063
-34782.70180018,166.251806946846,34.78270180018
-34780.202970297,167.326083420941,34.780202970297
-34777.704140414,168.391833514861,34.777704140414
-34775.2053105311,169.449158336377,34.7752053105311
-34772.7064806481,170.498157400944,34.7727064806481
-34770.2076507651,171.538928662909,34.7702076507651
-34767.7088208821,172.146042895766,34.7677088208821
-34765.2099909991,171.639879372046,34.7652099909991
-34762.7111611161,171.137639765769,34.7627111611161
-34760.2123312331,171.134397069966,34.7602123312331
-34757.7135013501,171.176961647409,34.7577135013501
-34755.2146714672,171.219466463256,34.7552146714672
-34752.7158415842,171.261911643278,34.7527158415842
-34750.2170117012,171.304297312895,34.7502170117012
-34747.7181818182,171.346623597174,34.7477181818182
-34745.2193519352,171.388890620831,34.7452193519352
-34742.7205220522,171.431098508236,34.7427205220522
-34740.2216921692,171.473247383409,34.7402216921692
-34737.7228622862,171.515337370023,34.7377228622862
-34735.2240324032,171.557368591408,34.7352240324032
-34732.7252025203,171.599341170548,34.7327252025203
-34730.2263726373,171.641255230084,34.7302263726373
-34727.7275427543,171.683110892316,34.7277275427543
-34725.2287128713,171.724908279204,34.7252287128713
-34722.7298829883,171.766647512367,34.7227298829883
-34720.2310531053,171.808328713087,34.7202310531053
-34717.7322232223,171.849952002309,34.7177322232223
-34715.2333933393,171.891517500641,34.7152333933393
-34712.7345634563,171.933025328357,34.7127345634563
