"","age","Nbhat","Nbmin","Nbmax","Icehat","Icemin","Icemax"
"1",1,0.127329573355547,0.11857360993636,0.136085536774735,296.134879347873,290.547815301155,301.72194339459
"2",2,0.121538946711348,0.114787135776161,0.128290757646536,295.596071751335,290.811718453014,300.380425049656
"3",3,0.115793065981438,0.110124983598086,0.121461148364789,293.65707812952,288.62635470159,298.68780155745
"4",4,0.11018091171336,0.104503230853517,0.115858592573204,289.409168336078,284.726867793678,294.091468878479
"5",5,0.104851814251793,0.0986273668226637,0.111076261680923,286.061534170608,281.81451555243,290.308552788787
"6",6,0.100017655099205,0.0933629981435889,0.106672312054822,288.335937577839,283.504708091527,293.167167064151
"7",7,0.0959441383279703,0.0892594820901767,0.102628794565764,300.892983910234,296.185486317552,305.600481502916
"8",8,0.092930143194632,0.0865591323517441,0.0993011540375199,327.517749395578,323.364860486708,331.670638304448
"9",9,0.0912769864584707,0.0852614320119537,0.0972925409049877,371.357405616323,366.674531140147,376.040280092499
"10",10,0.0912527601041165,0.085355573691474,0.097149946516759,435.456151017988,430.607439700993,440.304862334982
"11",11,0.0930299576452597,0.087023071540434,0.0990368437500853,518.766574398441,514.582425136407,522.950723660475
"12",12,0.0965010244057267,0.0903741371459462,0.102627911665507,614.515866013753,610.011524807139,619.020207220367
"13",13,0.101302237217974,0.095209662077582,0.107394812358365,715.504028761398,710.545074058979,720.462983463816
"14",14,0.106953706803282,0.101075052814399,0.112832360792165,814.299689704693,809.986418756648,818.612960652737
"15",15,0.112945797851391,0.1073816164152,0.118509979287582,902.828085281624,898.499833550814,907.156337012433
"16",16,0.118790633957964,0.113505874169833,0.124075393746096,972.903514466359,967.924844179957,977.882184752761
"17",17,0.124071395249154,0.118905805806971,0.129236984691337,1018.16705059221,1013.66118383172,1022.67291735271
"18",18,0.128483432830426,0.123228053284767,0.133738812376086,1042.96993714736,1038.77230906796,1047.16756522675
"19",19,0.131860015843508,0.126342461408994,0.137377570278021,1055.55453037498,1050.65728242678,1060.45177832318
"20",20,0.13417831239786,0.12829050617526,0.14006611862046,1063.92751652852,1059.20936504236,1068.64566801469
"21",21,0.135544574220901,0.129212576047214,0.141876572394589,1072.81695621948,1068.66835233885,1076.9655601001
"22",22,0.136152461695795,0.129301159950795,0.143003763440795,1084.58592597582,1079.84603750229,1089.32581444935
"23",23,0.13621197704131,0.128788241868655,0.143635712213964,1101.41798406043,1096.51395587152,1106.32201224934
"24",24,0.135933122476212,0.127947196801929,0.143919048150494,1119.75732195817,1115.55881616638,1123.95582774996
"25",25,0.135525900219268,0.127076672391477,0.14397512804706,1128.09709924582,1123.55328783077,1132.64091066086
"26",26,0.135173979732097,0.126428943370556,0.143919016093639,1114.35621813765,1109.33535604116,1119.37708023415
"27",27,0.134955699447712,0.126055703658689,0.143855695236735,1073.50575326712,1069.16675199455,1077.84475453969
"28",28,0.134923065041976,0.125962401633717,0.143883728450235,1019.91279388796,1015.55955209695,1024.26603567896
"29",29,0.135128082190754,0.12617270330092,0.144083461080589,971.249999636403,966.215553460962,976.284445811843
"30",30,0.13562275656991,0.126736552721899,0.14450896041792,942.310893522492,937.771866930865,946.849920114119
"31",31,0.136437329083809,0.127693880920615,0.145180777247002,931.20482473278,926.991427912634,935.418221552927
"32",32,0.137514981550831,0.128959127144512,0.14607083595715,930.04579354635,925.104204719771,934.987382372929
"33",33,0.138777131017858,0.130419907602204,0.147134354433512,931.272537749587,926.517707262774,936.0273682364
"34",34,0.140145194531772,0.131981688428197,0.148308700635348,931.779764216529,927.619180048094,935.940348384964
"35",35,0.141540589139456,0.133573803067921,0.149507375210991,931.644371247799,926.872797801163,936.415944694436
"36",36,0.142884731887791,0.135146940907154,0.150622522868428,931.016492410596,926.076333142633,935.956651678559
"37",37,0.14409903982366,0.136661080582516,0.151536999064803,930.24484937912,926.034214631532,934.455484126707
"38",38,0.145104929993944,0.138062417338165,0.152147442649722,929.950536929181,925.386321379406,934.514752478955
"39",39,0.145823819445525,0.139241931742538,0.152405707148512,930.772516511427,925.7195548393,935.825478183555
"40",40,0.146177125225287,0.139959192582491,0.152395057868082,932.143621382751,927.790883081478,936.496359684025
"41",41,0.146121566218114,0.139783970722285,0.152459161713943,930.215553400904,925.850288751614,934.580818050194
"42",42,0.145755068660912,0.138428650004633,0.153081487317192,920.587326869617,915.527102322595,925.647551416638
"43",43,0.145210860628591,0.136122362827072,0.154299358430109,900.533935045626,895.980274308585,905.087595782668
"44",44,0.144622170196058,0.133378180401221,0.155866159990895,876.929900310744,872.709531099833,881.150269521654
"45",45,0.144122225438223,0.130678868212247,0.157565582664198,860.061550990518,855.1014287848,865.021673196236
"46",46,0.143844254429995,0.128408289751208,0.159280219108781,859.207121450035,854.438481557099,863.97576134297
"47",47,0.14389011184847,0.12678844007939,0.16099178361755,870.276668138068,866.111483085116,874.44185319102
"48",48,0.144236158779497,0.125704094902293,0.162768222656701,879.72875262472,874.945183257441,884.512321991999
"49",49,0.144827382911112,0.124960825969375,0.164693939852848,874.084019502778,869.132444496389,879.035594509167
"50",50,0.14560877193135,0.124385986232199,0.1668315576305,851.108015692736,846.893823479851,855.322207905621
"51",51,0.146525313528246,0.123849115474613,0.169201511581879,823.835671634945,819.264361482945,828.406981786945
"52",52,0.147521995389838,0.123272018183775,0.1717719725959,806.381946556132,801.320669468425,811.443223643838
"53",53,0.14854380520416,0.122627906398634,0.174459704009687,806.942562500019,802.587261787179,811.297863212859
"54",54,0.149535730659248,0.121932270836132,0.177139190482364,817.785865731804,813.416650806226,822.155080657382
